Men Striped Polo Collar Pockets T-shirt	U.S. Polo Assn.	1325	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/31/RZCF71Ik_dd3519fe6e7a448b9e083ece2a1d6c66.jpg	https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-brand-logo-printed-polo-collar-pure-cotton-t-shirt/41011717/buy		white-Balck-green
Brand Logo Printed Polo Collar Pure Cotton T-shirt	U.S. Polo Assn.	1325	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/MAY/19/oMJL9vZe_1e181763bcf540a5a3f3721e6128388a.jpg	https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-brand-logo-printed-polo-collar-pure-cotton-t-shirt/41011717/buy		white-Balck
Men Maroon Solid Polo Neck T-shirt	Allen Solly	974	https://imagescdn.allensolly.com/img/app/product/3/39857875-17128276.jpg?auto=format&w=390	https://allensolly.abfrl.in/p/men-maroon-textured-polo-neck-t-shirt-39857875.html?source=plp		Maroon
Regular Fit Polo shirt	H&M	1499	https://image.hm.com/assets/hm/97/e8/97e81e7d00bf264efbc5de77682ce40d0da0c093.jpg?imwidth=1260	https://www2.hm.com/en_in/productpage.1330413009.html		Orange
Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/dAF38lOt_219a33faffeb4aa2b29a3aa0231a69b7.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589257/buy		browen
Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/NPNCH6c1_e723212f58f04c0eaf5fb4e6aa9416c2.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589892/buy		Blue
Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/7Fh1eTRt_4a5147450a5743afb70d892897aa6a94.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589251/buy		green
Slim Fit Opaque Formal Shirt	Louis Philippe	Rs. 1699	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/TSl9TER3_d70a912cce1c4b478afdb9bdb7fa6c9d.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/30142193/buy		charcoal
Slim Fit Cotton Formal Shirt	Louis Philippe	Rs. 1663	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/wZeMZ67l_c1c236b49028456e9e12f5bb9ef78a93.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/33085486/buy		maroon/white
Pure Cotton Slim Formal Shirt	Louis Philippe	Rs. 1699	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/73Dho6Hh_e3af14e2553744d0a6debedeb69b9ff9.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/29919134/buy		Blue
Pure Cotton Slim Formal Shirt	Louis Philippe	Rs. 1649	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/t6n73PWn_3a4c327e5398483abbb0da404cdcc95f.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/29919130/buy		White
